timestamp,x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1718719845.2676094,1.0,2.0,3.0,16:10:43,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.269986365240108,1625,785156,3350
1718719845.8697922,1.0,2.0,3.0,16:10:44,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.2142243269739,1644,421875,6398
1718719846.461227,1.0,2.0,3.0,16:10:44,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.187409118974635,1644,421875,6398
1718719847.0270054,1.0,2.0,3.0,16:10:45,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.25705554359388,1643,421875,6422
1718719847.6262515,1.0,2.0,3.0,16:10:46,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.16913708921095,1638,421875,6383
1718719848.236175,1.0,2.0,3.0,16:10:46,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.26186221298464,1638,421875,6383
1718719848.7967353,1.0,2.0,3.0,16:10:47,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.286868642887285,1640,421875,6367
1718719849.4106917,1.0,2.0,3.0,16:10:48,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.095164674822108,1640,421875,6367
1718719849.962505,1.0,2.0,3.0,16:10:48,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.393214401450685,1641,421875,6375
1718719850.572553,1.0,2.0,3.0,16:10:49,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.22507168271418,1639,421875,6375
1718719851.1914487,1.0,2.0,3.0,16:10:49,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.216343724997635,1639,421875,6375
1718719851.7546382,1.0,2.0,3.0,16:10:50,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.210230867118888,1644,421875,6390
1718719852.3538232,1.0,2.0,3.0,16:10:50,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.17706580294493,1644,421875,6390
1718719852.8926775,1.0,2.0,3.0,16:10:51,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.192887745081656,1644,421875,6390
1718719853.4840097,1.0,2.0,3.0,16:10:52,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.247073855758146,1644,421875,6390
1718719854.111266,1.0,2.0,3.0,16:10:52,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.14064252237641,1644,421875,6390
